; CSV, generated by libsigrok 0.3.0 on Thu Jan  1 01:31:26 1970
; Channels (3/3): P1_ENRG_PWR, P1_ENRG_CURR, P1_ENRG_VOL
; Samplerate: 500 Hz
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.303000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.303000
1.200000,0.272000,4.303000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.303000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.303000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.299000
1.200000,0.272000,4.299000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.303000
1.200000,0.272000,4.301000
1.200000,0.272000,4.303000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.303000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.272000,4.303000
1.200000,0.272000,4.301000
1.200000,0.272000,4.300000
1.200000,0.272000,4.300000
1.200000,0.272000,4.301000
1.200000,0.272000,4.299000
1.200000,0.272000,4.301000
1.200000,0.272000,4.301000
1.200000,0.273000,4.300000
1.200000,0.272000,4.299000
0.375000,0.190000,4.365000
1.300000,0.302000,4.343000
0.950000,0.208000,4.360000
0.900000,0.208000,4.361000
0.900000,0.208000,4.360000
0.900000,0.209000,4.361000
0.900000,0.208000,4.360000
0.900000,0.209000,4.361000
0.900000,0.209000,4.360000
0.900000,0.208000,4.360000
0.900000,0.209000,4.361000
0.900000,0.208000,4.361000
0.900000,0.208000,4.360000
0.900000,0.208000,4.361000
0.900000,0.209000,4.361000
0.900000,0.208000,4.361000
0.900000,0.208000,4.359000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.361000
0.900000,0.208000,4.360000
0.900000,0.208000,4.359000
0.900000,0.208000,4.359000
0.900000,0.208000,4.361000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.359000
0.900000,0.208000,4.360000
0.900000,0.208000,4.361000
0.900000,0.209000,4.360000
0.900000,0.208000,4.358000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.358000
0.900000,0.208000,4.360000
0.900000,0.208000,4.360000
0.900000,0.208000,4.361000
0.900000,0.208000,4.358000
0.900000,0.208000,4.361000
0.900000,0.208000,4.354000
0.900000,0.208000,4.353000
0.900000,0.208000,4.354000
0.900000,0.208000,4.356000
0.900000,0.208000,4.355000
0.900000,0.208000,4.351000
0.900000,0.208000,4.355000
0.900000,0.208000,4.356000
0.900000,0.209000,4.356000
0.900000,0.208000,4.358000
0.900000,0.208000,4.304000
1.350000,0.320000,4.266000
1.675000,0.281000,4.281000
1.150000,0.270000,4.301000
1.150000,0.269000,4.300000
1.150000,0.270000,4.301000
1.150000,0.270000,4.300000
1.150000,0.270000,4.300000
1.150000,0.269000,4.300000
1.150000,0.270000,4.301000
1.150000,0.269000,4.303000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.400000,0.322000,4.270000
1.300000,0.390000,4.265000
1.400000,0.321000,4.299000
1.150000,0.270000,4.301000
1.150000,0.270000,4.303000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.303000
1.150000,0.270000,4.303000
1.150000,0.270000,4.300000
1.150000,0.270000,4.301000
1.150000,0.270000,4.275000
1.300000,0.270000,4.300000
1.150000,0.270000,4.299000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.300000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.303000
1.150000,0.269000,4.303000
1.150000,0.269000,4.303000
1.150000,0.269000,4.300000
1.150000,0.270000,4.300000
1.150000,0.270000,4.301000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.295000
1.150000,0.270000,4.296000
1.150000,0.270000,4.298000
1.150000,0.270000,4.295000
1.150000,0.270000,4.296000
1.150000,0.269000,4.294000
1.150000,0.269000,4.295000
1.150000,0.270000,4.296000
1.150000,0.270000,4.295000
1.150000,0.269000,4.295000
1.150000,0.270000,4.295000
1.150000,0.270000,4.295000
1.150000,0.270000,4.293000
1.150000,0.269000,4.294000
1.150000,0.269000,4.295000
1.150000,0.270000,4.296000
1.150000,0.269000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.298000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.270000,4.293000
1.150000,0.269000,4.294000
1.150000,0.269000,4.294000
1.150000,0.269000,4.296000
1.150000,0.269000,4.296000
1.150000,0.270000,4.295000
1.150000,0.270000,4.296000
1.150000,0.270000,4.296000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.300000
1.150000,0.269000,4.301000
1.150000,0.270000,4.303000
1.150000,0.269000,4.301000
1.150000,0.269000,4.299000
1.150000,0.270000,4.303000
1.150000,0.269000,4.303000
1.150000,0.270000,4.301000
1.150000,0.270000,4.299000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.300000
1.150000,0.269000,4.301000
1.150000,0.269000,4.303000
1.150000,0.270000,4.303000
1.150000,0.269000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.303000
1.150000,0.270000,4.303000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.303000
1.150000,0.269000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.303000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.303000
1.150000,0.270000,4.300000
1.150000,0.270000,4.300000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.303000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.269000,4.301000
1.150000,0.269000,4.300000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.300000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.300000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.303000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.270000,4.301000
1.150000,0.269000,4.303000
1.150000,0.270000,4.301000
1.150000,0.269000,4.300000
1.150000,0.270000,4.303000
